0	0	0	519	Running
0.81	0.26	0.25	613	Running
0.84	0.18	0.46	653	Running
0.7	0.19	0.57	693	Running
0.7	0.14	0.7	733	Running
0.66	0.07	0.86	775	Standing
0.46	0.16	0.89	816	Standing
0.62	0.08	0.94	856	Standing
0.39	0.11	0.96	896	Standing
0.4	0.09	0.89	937	Standing
0.36	0.11	0.83	978	Standing
0.29	0.11	0.86	1018	Standing
0.29	0.07	0.79	1058	Standing
0.25	0.05	0.88	1098	Standing
0.35	-0.04	0.94	1138	Standing
0.46	-0.09	0.99	1178	Standing
0.36	-0.09	1.05	1219	Standing
0.32	-0.07	0.97	1259	Standing
0.36	-0.03	1.01	1300	Standing
0.33	0	0.98	1340	Standing
0.36	0.03	1	1381	Standing
0.32	0.05	0.88	1421	Standing
0.34	0.05	0.95	1461	Standing
0.3	0.09	0.93	1501	Standing
0.36	0.08	0.93	1541	Standing
0.26	0.09	0.93	1581	Standing
0.3	0.12	0.94	1623	Standing
0.34	0.09	0.96	1664	Standing
0.29	0.14	0.95	1705	Standing
0.28	0.09	0.94	1745	Standing
0.25	0.16	0.94	1785	Standing
0.23	0.13	0.95	1826	Standing
0.23	0.16	0.93	1866	Standing
0.27	0.15	0.95	1906	Standing
0.24	0.16	0.96	1947	Standing
0.24	0.16	0.94	1987	Standing
0.26	0.16	0.96	2027	Standing
0.22	0.18	0.95	2067	Standing
0.27	0.17	0.94	2108	Standing
0.28	0.19	0.98	2148	Standing
0.2	0.19	0.96	2188	Standing
0.28	0.19	0.96	2228	Standing
0.23	0.19	0.96	2269	Standing
0.22	0.18	0.95	2309	Standing
0.21	0.2	0.95	2349	Standing
0.22	0.19	0.94	2390	Standing
0.22	0.19	0.94	2430	Standing
0.23	0.18	0.95	2470	Standing
0.24	0.2	0.95	2510	Standing
0.21	0.19	0.95	2551	Standing
0.22	0.2	0.97	2591	Standing
0.21	0.21	0.95	2631	Standing
0.21	0.18	0.95	2671	Standing
0.21	0.2	0.94	2711	Standing
0.22	0.19	0.95	2752	Standing
0.21	0.21	0.94	2792	Standing
0.25	0.2	0.95	2832	Standing
0.21	0.21	0.95	2873	Standing
0.26	0.18	0.98	2913	Standing
0.2	0.16	0.97	2953	Standing
0.24	0.16	0.96	2993	Standing
0.22	0.16	0.98	3034	Standing
0.25	0.18	0.96	3074	Standing
0.26	0.16	0.98	3116	Standing
0.24	0.21	0.94	3156	Standing
0.25	0.18	0.96	3196	Standing
0.22	0.18	0.95	3236	Standing
0.24	0.18	0.95	3276	Standing
0.22	0.17	0.93	3317	Standing
0.22	0.17	0.93	3357	Standing
0.22	0.18	0.91	3397	Standing
0.18	0.15	0.84	3438	Standing
0.13	0.06	0.75	3478	Standing
0.05	0.04	0.63	3518	Standing
0.29	0	0.64	3558	Standing
0.26	-0.02	0.6	3598	Standing
0.33	0.05	0.58	3639	Standing
0.69	-0.04	0.63	3679	Standing
0.66	-0.05	0.48	3720	Standing
0.85	-0.15	0.66	3760	Standing
0.88	-0.31	0.41	3801	Standing
1.27	-0.56	0.36	3842	Standing
0.95	-0.55	0.42	3884	Standing
0.88	-0.57	0.25	3924	Standing
1.05	-0.73	0.24	3964	Standing
0.82	-0.8	0.27	4005	Standing
0.78	-0.84	0.2	4046	Standing
0.74	-0.91	0.21	4086	Standing
0.77	-1	0.19	4127	Standing
0.55	-0.96	0.18	4167	Standing
0.48	-0.95	0.24	4208	Standing
0.45	-0.97	0.22	4249	Standing
0.43	-0.96	0.23	4289	Standing
0.39	-0.96	0.22	4330	Standing
0.32	-0.84	0.23	4370	Standing
0.3	-0.83	0.24	4411	Standing
0.32	-0.84	0.24	4452	Standing
0.28	-0.91	0.2	4492	Standing
0.31	-1.02	0.2	4533	Standing
0.29	-0.95	0.16	4573	Standing
0.3	-0.89	0.14	4614	Standing
0.34	-0.96	0.11	4655	Standing
0.38	-1.03	0.1	4695	Standing
0.4	-0.95	0.12	4736	Standing
0.39	-0.91	0.14	4776	Standing
0.37	-0.89	0.14	4816	Standing
0.34	-0.96	0.14	4856	Standing
0.36	-0.95	0.12	4896	Standing
0.39	-0.98	0.14	4937	Standing
0.36	-0.96	0.12	4977	Standing
0.32	-0.97	0.12	5018	Standing
0.31	-0.97	0.12	5059	Standing
0.3	-0.91	0.09	5099	Standing
0.33	-0.91	0.09	5140	Standing
0.33	-0.92	0.1	5180	Standing
0.32	-0.9	0.09	5221	Standing
0.36	-0.93	0.09	5262	Standing
0.38	-0.93	0.09	5302	Standing
0.38	-0.91	0.11	5343	Standing
0.39	-0.9	0.12	5383	Standing
0.41	-0.92	0.13	5424	Standing
0.4	-0.93	0.12	5465	Standing
0.4	-0.92	0.13	5505	Standing
0.41	-0.92	0.13	5545	Standing
0.39	-0.93	0.12	5586	Standing
0.4	-0.93	0.11	5626	Standing
0.39	-0.94	0.1	5667	Standing
0.37	-0.93	0.11	5707	Standing
0.37	-0.93	0.11	5748	Standing
0.36	-0.93	0.11	5789	Standing
0.37	-0.93	0.09	5829	Standing
0.37	-0.93	0.09	5870	Standing
0.37	-0.93	0.1	5911	Standing
0.35	-0.93	0.1	5951	Standing
0.36	-0.93	0.1	5992	Standing
0.38	-0.93	0.11	6032	Standing
0.35	-0.92	0.09	6072	Standing
0.36	-0.92	0.09	6113	Standing
0.37	-0.93	0.09	6153	Standing
0.36	-0.93	0.1	6194	Standing
0.36	-0.93	0.09	6234	Standing
0.34	-0.93	0.09	6275	Standing
0.36	-0.93	0.09	6316	Standing
0.34	-0.92	0.09	6358	Standing
0.36	-0.93	0.1	6398	Standing
0.36	-0.93	0.1	6439	Standing
0.37	-0.94	0.1	6479	Standing
0.37	-0.93	0.1	6520	Standing
0.37	-0.93	0.09	6560	Standing
0.37	-0.92	0.09	6601	Standing
0.38	-0.92	0.09	6642	Standing
0.38	-0.93	0.09	6682	Standing
0.37	-0.93	0.1	6723	Standing
0.37	-0.92	0.1	6763	Standing
0.37	-0.91	0.11	6804	Standing
0.36	-0.91	0.09	6845	Standing
0.38	-0.93	0.09	6885	Standing
0.38	-0.93	0.1	6926	Standing
0.38	-0.93	0.09	6967	Standing
0.38	-0.93	0.09	7007	Standing
0.38	-0.93	0.09	7048	Standing
0.37	-0.92	0.09	7088	Standing
0.38	-0.92	0.09	7129	Standing
0.39	-0.92	0.1	7170	Standing
0.38	-0.93	0.11	7212	Standing
0.39	-0.93	0.1	7252	Standing
0.4	-0.92	0.1	7292	Standing
0.39	-0.91	0.11	7332	Standing
0.38	-0.91	0.11	7372	Standing
0.38	-0.91	0.11	7413	Standing
0.39	-0.91	0.11	7453	Standing
0.37	-0.9	0.11	7493	Standing
0.38	-0.92	0.1	7534	Standing
0.41	-0.91	0.1	7574	Standing
0.39	-0.91	0.1	7615	Standing
0.4	-0.91	0.1	7655	Standing
0.4	-0.91	0.09	7696	Standing
0.4	-0.91	0.09	7736	Standing
0.4	-0.91	0.09	7777	Standing
0.41	-0.91	0.09	7817	Standing
0.41	-0.93	0.1	7858	Standing
0.4	-0.92	0.09	7898	Standing
0.39	-0.92	0.1	7939	Standing
0.39	-0.93	0.1	7979	Standing
0.39	-0.93	0.1	8019	Standing
0.39	-0.93	0.1	8059	Standing
0.38	-0.92	0.1	8099	Standing
0.38	-0.92	0.1	8140	Standing
